[2026-09-18T09:07:56.506+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:56.507+00:00] PID:2441509 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:57.009+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:57.009+00:00] PID:2441509 CPU:3.98% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:57.511+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:57.512+00:00] PID:2441509 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:58.014+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:58.015+00:00] PID:2441509 CPU:1.99% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:58.516+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:58.517+00:00] PID:2441509 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:59.019+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:59.019+00:00] PID:2441509 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:59.521+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:59.522+00:00] PID:2441509 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:08:00.024+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:00.024+00:00] PID:2441509 CPU:3.98% RSS_KIB:376448 MEM:2.36731% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:08:00.526+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:00.526+00:00] PID:2441509 CPU:0.00% RSS_KIB:376448 MEM:2.36731% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:08:01.028+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:01.029+00:00] PID:2441509 CPU:0.00% RSS_KIB:376448 MEM:2.36731% STATE:S THREADS:3 WCHAN:futex_wait_queue
